Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commission (in value),Gender,Age
Airlines,Online,Basic Plan,No,22.0,CHINA,26.0,9.1,M,37.0
Airlines,Online,Value Plan,No,38.0,INDIA,50.0,20.0,F,118.0
Airlines,Online,Value Plan,No,1.0,INDIA,31.0,12.4,M,118.0
Airlines,Online,Value Plan,No,24.0,INDIA,39.0,15.6,M,118.0
Airlines,Online,Basic Plan,No,21.0,CHINA,26.0,9.1,M,54.0
Airlines,Online,Value Plan,No,15.0,INDIA,78.0,31.2,M,118.0
Airlines,Online,Basic Plan,No,58.0,CHINA,26.0,9.1,M,31.0
Airlines,Online,Basic Plan,No,30.0,PHILIPPINES,22.0,7.7,M,32.0
Airlines,Online,Basic Plan,No,8.0,MALAYSIA,18.0,6.3,M,50.0
Airlines,Online,Bronze Plan,No,11.0,SINGAPORE,17.55,4.39,M,67.0
Airlines,Online,Basic Plan,No,24.0,MALAYSIA,22.0,7.7,F,31.0
Airlines,Online,Basic Plan,No,1.0,INDONESIA,18.0,6.3,F,47.0
Travel Agency,Online,Value Plan,No,10.0,INDONESIA,28.0,10.64,F,48.0
Airlines,Online,Basic Plan,No,13.0,AUSTRALIA,26.0,9.1,M,53.0
Airlines,Online,Basic Plan,No,75.0,THAILAND,69.0,24.15,M,31.0
Airlines,Online,Silver Plan,No,8.0,SINGAPORE,43.55,10.89,F,60.0
Travel Agency,Offline,Comprehensive Plan,No,15.0,MALAYSIA,29.0,9.57,M,67.0
Airlines,Online,Value Plan,No,39.0,CHINA,110.0,38.5,F,48.0
Airlines,Online,Basic Plan,No,44.0,THAILAND,22.0,7.7,M,50.0
Airlines,Online,Basic Plan,No,15.0,MALAYSIA,22.0,7.7,M,35.0
Airlines,Online,Basic Plan,No,45.0,CHINA,35.0,12.25,M,59.0
Airlines,Online,Basic Plan,No,40.0,HONG KONG,35.0,12.25,M,53.0
Airlines,Online,Basic Plan,No,25.0,HONG KONG,26.0,9.1,M,46.0
Airlines,Online,Basic Plan,No,3.0,PHILIPPINES,18.0,6.3,M,53.0
Airlines,Online,Value Plan,No,29.0,BRUNEI DARUSSALAM,31.0,12.4,M,39.0
Airlines,Online,24 Protect,No,121.0,CAMBODIA,14.11,4.94,M,48.0
Airlines,Online,Annual Silver Plan,No,369.0,SINGAPORE,252.85,63.21,F,42.0
Airlines,Online,Basic Plan,No,37.0,CHINA,44.0,15.4,M,35.0
Travel Agency,Online,Premier Plan,No,3.0,INDONESIA,29.0,11.02,M,48.0
Airlines,Online,Annual Silver Plan,No,377.0,SINGAPORE,291.75,72.94,M,33.0
Airlines,Online,Silver Plan,No,13.0,SINGAPORE,58.8,14.7,F,24.0
Airlines,Online,Basic Plan,No,115.0,INDONESIA,22.0,7.7,F,31.0
Airlines,Online,Basic Plan,No,34.0,CHINA,22.0,7.7,M,31.0
Airlines,Online,Value Plan,No,19.0,"KOREA, REPUBLIC OF",45.0,15.75,M,41.0
Airlines,Online,Bronze Plan,No,41.0,SINGAPORE,108.75,27.19,M,37.0
Airlines,Online,Basic Plan,No,3.0,MALAYSIA,18.0,6.3,M,57.0
Airlines,Online,Basic Plan,No,10.0,MALAYSIA,30.0,10.5,M,45.0
Airlines,Online,Basic Plan,No,5.0,INDONESIA,18.0,6.3,F,32.0
Airlines,Online,Basic Plan,No,24.0,THAILAND,30.0,10.5,M,48.0
Airlines,Online,Annual Silver Plan,No,377.0,SINGAPORE,187.85,46.96,F,75.0
Airlines,Online,Value Plan,No,9.0,CHINA,32.0,11.2,M,118.0
Airlines,Online,Basic Plan,No,7.0,JAPAN,35.0,12.25,F,36.0
Airlines,Online,Basic Plan,No,16.0,MALAYSIA,18.0,6.3,M,66.0
Travel Agency,Offline,Comprehensive Plan,No,277.0,THAILAND,29.0,9.57,F,69.0
Airlines,Online,Bronze Plan,No,6.0,SINGAPORE,20.25,5.06,M,39.0
Airlines,Online,Basic Plan,No,24.0,HONG KONG,26.0,9.1,M,36.0
Travel Agency,Online,Premier Plan,No,106.0,ITALY,86.0,32.68,M,48.0
Airlines,Online,Basic Plan,No,2.0,PHILIPPINES,18.0,6.3,F,27.0
Airlines,Online,Gold Plan,No,17.0,SINGAPORE,118.3,29.57,M,35.0
Airlines,Online,Basic Plan,No,1.0,INDONESIA,18.0,6.3,F,41.0
Travel Agency,Offline,Comprehensive Plan,No,19.0,THAILAND,29.0,9.57,F,83.0
Airlines,Online,Value Plan,No,2.0,INDIA,42.0,16.8,F,118.0
Airlines,Online,Basic Plan,No,10.0,CHINA,26.0,9.1,M,30.0
Airlines,Online,Basic Plan,No,19.0,HONG KONG,26.0,9.1,M,25.0
Airlines,Online,Basic Plan,No,8.0,MACAO,26.0,9.1,M,57.0
Airlines,Online,Basic Plan,No,2.0,MACAO,22.0,7.7,M,61.0
Airlines,Online,Basic Plan,No,236.0,HONG KONG,26.0,9.1,F,40.0
Airlines,Online,Basic Plan,No,12.0,THAILAND,18.0,6.3,M,42.0
Airlines,Online,Value Plan,No,21.0,AUSTRALIA,58.0,20.3,F,43.0
Airlines,Online,Basic Plan,No,29.0,INDONESIA,18.0,6.3,F,31.0
Airlines,Online,Basic Plan,No,20.0,THAILAND,22.0,7.7,M,49.0
Airlines,Online,Value Plan,No,21.0,INDIA,120.0,48.0,M,118.0
Airlines,Online,Bronze Plan,No,4.0,SINGAPORE,13.5,3.38,M,38.0
Airlines,Online,Annual Silver Plan,Yes,366.0,SINGAPORE,252.85,63.21,F,22.0
Airlines,Online,Bronze Plan,No,24.0,SINGAPORE,25.2,6.3,F,33.0
Airlines,Online,Basic Plan,No,6.0,INDONESIA,18.0,6.3,M,38.0
Airlines,Online,Value Plan,No,72.0,INDIA,31.0,12.4,M,118.0
Airlines,Online,Basic Plan,No,39.0,THAILAND,22.0,7.7,M,35.0
Airlines,Online,Value Plan,No,38.0,INDIA,31.0,12.4,F,118.0
Airlines,Online,Basic Plan,No,87.0,HONG KONG,26.0,9.1,M,49.0
Airlines,Online,Basic Plan,No,58.0,MYANMAR,-47.0,16.45,F,28.0
Airlines,Online,Value Plan,No,4.0,BRUNEI DARUSSALAM,15.0,6.0,F,28.0
Airlines,Online,Basic Plan,No,7.0,PHILIPPINES,22.0,7.7,M,33.0
Airlines,Online,Basic Plan,No,9.0,CAMBODIA,22.0,7.7,M,42.0
Airlines,Online,Bronze Plan,No,36.0,SINGAPORE,17.55,4.39,F,38.0
Airlines,Online,24 Protect,No,9.0,PHILIPPINES,3.43,1.2,M,48.0
Airlines,Online,Basic Plan,No,48.0,MYANMAR,22.0,7.7,M,23.0
Airlines,Online,Silver Plan,No,47.0,SINGAPORE,0.0,10.89,F,25.0
Airlines,Online,24 Protect,No,9.0,UNITED ARAB EMIRATES,28.5,9.97,M,48.0
Airlines,Online,Value Plan,No,23.0,JAPAN,58.0,20.3,M,54.0
Airlines,Online,Basic Plan,No,30.0,THAILAND,30.0,10.5,M,48.0
Airlines,Online,Basic Plan,No,37.0,THAILAND,18.0,6.3,M,69.0
Airlines,Online,Annual Silver Plan,No,365.0,SINGAPORE,291.75,72.94,M,33.0
Airlines,Online,Bronze Plan,No,7.0,SINGAPORE,23.4,5.85,M,52.0
Airlines,Online,Basic Plan,No,5.0,CHINA,22.0,7.7,M,53.0
Airlines,Online,Basic Plan,No,52.0,INDONESIA,22.0,7.7,F,51.0
Airlines,Online,24 Protect,No,224.0,PHILIPPINES,4.95,1.73,F,48.0
Airlines,Online,Value Plan,No,11.0,"KOREA, REPUBLIC OF",69.0,24.15,M,43.0
Airlines,Online,Bronze Plan,No,8.0,SINGAPORE,30.55,7.64,M,30.0
Airlines,Online,24 Protect,No,6.0,MALAYSIA,6.2,2.17,F,48.0
Airlines,Online,Basic Plan,No,118.0,JAPAN,35.0,12.25,F,41.0
Airlines,Online,Basic Plan,No,16.0,MYANMAR,22.0,7.7,F,28.0
Airlines,Online,Bronze Plan,No,83.0,SINGAPORE,13.5,3.38,F,44.0
Airlines,Online,Value Plan,No,34.0,LAO PEOPLE'S DEMOCRATIC REPUBLIC,39.0,13.65,M,62.0
Airlines,Online,Value Plan,No,11.0,JAPAN,36.0,12.6,M,49.0
Airlines,Online,Value Plan,No,9.0,BRUNEI DARUSSALAM,15.0,6.0,M,56.0
Airlines,Online,Basic Plan,No,17.0,CHINA,35.0,12.25,F,46.0
Airlines,Online,Basic Plan,No,11.0,THAILAND,22.0,7.7,M,51.0
Airlines,Online,Basic Plan,No,14.0,CHINA,26.0,9.1,F,36.0
Airlines,Online,Basic Plan,No,14.0,INDONESIA,22.0,7.7,M,58.0
Airlines,Online,Bronze Plan,No,5.0,SINGAPORE,17.55,4.39,F,27.0
Airlines,Online,Basic Plan,No,7.0,MALAYSIA,22.0,7.7,M,42.0
Airlines,Online,Bronze Plan,No,27.0,SINGAPORE,-25.2,6.3,M,24.0
Airlines,Online,Value Plan,No,52.0,JAPAN,58.0,20.3,M,42.0
Airlines,Online,Basic Plan,No,4.0,INDONESIA,18.0,6.3,F,38.0
Airlines,Online,Value Plan,No,18.0,BRUNEI DARUSSALAM,23.0,9.2,M,29.0
Airlines,Online,Basic Plan,No,5.0,THAILAND,18.0,6.3,F,37.0
Airlines,Online,Bronze Plan,No,55.0,SINGAPORE,94.0,23.5,M,30.0
Airlines,Online,Silver Plan,No,9.0,SINGAPORE,58.1,14.53,F,45.0
Airlines,Online,Basic Plan,No,6.0,MYANMAR,22.0,7.7,M,58.0
Airlines,Online,Basic Plan,No,0.0,INDONESIA,18.0,6.3,M,42.0
Airlines,Online,Value Plan,No,11.0,CHINA,40.0,14.0,M,59.0
Airlines,Online,Basic Plan,No,26.0,THAILAND,33.0,11.55,M,44.0
Airlines,Online,Basic Plan,No,4.0,VIET NAM,18.0,6.3,M,36.0
Airlines,Online,Basic Plan,No,26.0,PHILIPPINES,0.0,10.5,F,39.0
Airlines,Online,24 Protect,No,45.0,MALAYSIA,4.84,1.69,F,48.0
Airlines,Online,Basic Plan,No,15.0,MALAYSIA,18.0,6.3,M,52.0
Airlines,Online,Basic Plan,No,37.0,THAILAND,22.0,7.7,F,69.0
Airlines,Online,Value Plan,No,34.0,PHILIPPINES,34.0,11.9,F,118.0
Airlines,Online,Basic Plan,No,28.0,MALAYSIA,18.0,6.3,F,42.0
Airlines,Online,Basic Plan,No,7.0,THAILAND,22.0,7.7,M,69.0
Airlines,Online,Basic Plan,No,25.0,CHINA,22.0,7.7,M,63.0
Airlines,Online,Basic Plan,No,84.0,HONG KONG,35.0,12.25,F,40.0
Airlines,Online,Basic Plan,No,33.0,CHINA,26.0,9.1,F,30.0
Airlines,Online,Basic Plan,No,2.0,CHINA,22.0,7.7,F,38.0
Airlines,Online,Value Plan,No,11.0,INDIA,39.0,15.6,M,118.0
Airlines,Online,Value Plan,No,44.0,DENMARK,109.0,38.15,F,43.0
Airlines,Online,Basic Plan,No,123.0,PHILIPPINES,30.0,10.5,F,46.0
Airlines,Online,Basic Plan,No,10.0,CHINA,26.0,9.1,F,45.0
Airlines,Online,Annual Silver Plan,Yes,376.0,SINGAPORE,252.85,63.21,M,34.0
Airlines,Online,Basic Plan,No,53.0,PHILIPPINES,37.0,12.95,F,37.0
Travel Agency,Online,Value Plan,No,39.0,INDONESIA,28.0,10.64,M,48.0
Airlines,Online,Basic Plan,No,62.0,VIET NAM,22.0,7.7,M,28.0
Airlines,Online,Basic Plan,No,16.0,INDONESIA,-18.0,6.3,F,38.0
Airlines,Online,Silver Plan,Yes,13.0,SINGAPORE,76.3,19.07,F,35.0
Airlines,Online,Basic Plan,No,38.0,THAILAND,22.0,7.7,M,60.0
Airlines,Online,Silver Plan,No,6.0,SINGAPORE,22.2,5.55,M,27.0
Airlines,Online,Basic Plan,No,40.0,THAILAND,18.0,6.3,F,49.0
Airlines,Online,Value Plan,No,15.0,"KOREA, REPUBLIC OF",69.0,24.15,M,43.0
Airlines,Online,Value Plan,No,8.0,INDIA,31.0,12.4,M,118.0
Airlines,Online,Basic Plan,No,103.0,"TAIWAN, PROVINCE OF CHINA",40.0,14.0,F,25.0
Airlines,Online,Silver Plan,No,238.0,SINGAPORE,27.75,6.94,M,43.0
Airlines,Online,Annual Silver Plan,Yes,383.0,SINGAPORE,291.75,72.94,M,38.0
Travel Agency,Online,Value Plan,No,43.0,SPAIN,95.0,36.1,F,48.0
Airlines,Online,Value Plan,No,131.0,INDIA,100.0,40.0,M,118.0
Airlines,Online,24 Protect,No,3.0,UNITED ARAB EMIRATES,12.67,4.43,M,48.0
Airlines,Online,Bronze Plan,Yes,12.0,SINGAPORE,23.0,5.75,M,27.0
Airlines,Online,Basic Plan,No,180.0,JAPAN,35.0,12.25,F,42.0
Airlines,Online,Basic Plan,No,4.0,INDONESIA,18.0,6.3,M,41.0
Airlines,Online,Value Plan,No,0.0,BRUNEI DARUSSALAM,15.0,6.0,M,38.0
Airlines,Online,Value Plan,No,6.0,BRUNEI DARUSSALAM,15.0,6.0,F,30.0
Airlines,Online,Basic Plan,No,11.0,MYANMAR,18.0,6.3,F,35.0
Airlines,Online,Annual Silver Plan,Yes,386.0,SINGAPORE,252.85,63.21,F,38.0
Airlines,Online,Basic Plan,No,1.0,CHINA,22.0,7.7,M,33.0
Airlines,Online,Basic Plan,No,3.0,CHINA,22.0,7.7,M,30.0
Airlines,Online,Basic Plan,No,176.0,"KOREA, REPUBLIC OF",35.0,12.25,M,32.0
Airlines,Online,Basic Plan,No,9.0,MYANMAR,18.0,6.3,F,27.0
Travel Agency,Online,Value Plan,No,67.0,INDONESIA,28.0,10.64,M,48.0
Airlines,Online,Basic Plan,No,100.0,THAILAND,33.0,11.55,M,58.0
Airlines,Online,Basic Plan,No,29.0,CHINA,63.0,22.05,F,32.0
Airlines,Online,Annual Silver Plan,Yes,380.0,SINGAPORE,252.85,63.21,F,31.0
Airlines,Online,Basic Plan,No,35.0,AUSTRALIA,22.0,7.7,M,43.0
Airlines,Online,Value Plan,No,8.0,INDIA,39.0,15.6,M,118.0
Airlines,Online,Basic Plan,No,31.0,MYANMAR,52.0,18.2,F,36.0
Airlines,Online,Value Plan,No,9.0,BRUNEI DARUSSALAM,23.0,9.2,M,58.0
Airlines,Online,Bronze Plan,No,5.0,SINGAPORE,42.75,10.69,M,48.0
Airlines,Online,Basic Plan,No,10.0,THAILAND,22.0,7.7,M,48.0
Airlines,Online,Value Plan,No,88.0,NETHERLANDS,125.0,43.75,F,24.0
Airlines,Online,Basic Plan,No,20.0,"KOREA, REPUBLIC OF",35.0,12.25,F,35.0
Travel Agency,Offline,Comprehensive Plan,No,128.0,THAILAND,29.0,9.57,F,76.0
Airlines,Online,Basic Plan,No,6.0,HONG KONG,26.0,9.1,M,39.0
Travel Agency,Offline,Comprehensive Plan,No,52.0,MALAYSIA,29.0,9.57,F,67.0
Airlines,Online,Bronze Plan,No,9.0,SINGAPORE,36.0,9.0,F,44.0
Airlines,Online,Annual Gold Plan,No,399.0,SINGAPORE,389.35,97.34,M,55.0
Airlines,Online,Basic Plan,No,172.0,INDONESIA,18.0,6.3,F,33.0
Airlines,Online,Silver Plan,No,44.0,SINGAPORE,157.0,39.25,M,31.0
Airlines,Online,Annual Silver Plan,No,367.0,SINGAPORE,187.85,46.96,F,76.0
Airlines,Online,Basic Plan,No,71.0,PHILIPPINES,42.0,14.7,F,41.0
Airlines,Online,Basic Plan,No,31.0,PHILIPPINES,52.0,18.2,F,47.0
Airlines,Online,Basic Plan,No,7.0,THAILAND,22.0,7.7,M,57.0
Airlines,Online,Basic Plan,No,54.0,MALAYSIA,30.0,10.5,M,42.0
Airlines,Online,Bronze Plan,No,30.0,SINGAPORE,38.35,9.59,M,37.0
Airlines,Online,Bronze Plan,No,16.0,SINGAPORE,27.0,6.75,M,27.0
Airlines,Online,Basic Plan,No,37.0,CHINA,35.0,12.25,F,60.0
Airlines,Online,Silver Plan,No,26.0,SINGAPORE,53.95,13.49,M,83.0
Airlines,Online,Value Plan,No,5.0,INDIA,39.0,15.6,M,118.0
Airlines,Online,Value Plan,No,10.0,AUSTRALIA,45.0,15.75,M,43.0
Airlines,Online,Basic Plan,No,12.0,THAILAND,22.0,7.7,F,43.0
Airlines,Online,Basic Plan,No,27.0,HONG KONG,22.0,7.7,F,79.0
Airlines,Online,Value Plan,No,14.0,INDIA,50.0,20.0,M,118.0
Airlines,Online,Value Plan,No,26.0,"KOREA, REPUBLIC OF",69.0,24.15,M,50.0
Airlines,Online,Basic Plan,No,166.0,PHILIPPINES,18.0,6.3,M,50.0
Airlines,Online,Basic Plan,No,31.0,CHINA,35.0,12.25,M,63.0
Airlines,Online,Basic Plan,No,5.0,VIET NAM,18.0,6.3,M,55.0
Airlines,Online,Bronze Plan,No,174.0,SINGAPORE,17.55,4.39,F,49.0
Airlines,Online,Value Plan,No,65.0,INDIA,78.0,31.2,F,118.0
Airlines,Online,Basic Plan,No,9.0,PHILIPPINES,18.0,6.3,M,64.0
Airlines,Online,Basic Plan,No,10.0,THAILAND,18.0,6.3,M,49.0
Airlines,Online,Basic Plan,No,18.0,THAILAND,37.0,12.95,M,33.0
Airlines,Online,Bronze Plan,No,29.0,SINGAPORE,46.0,11.5,F,30.0
Airlines,Online,Bronze Plan,No,55.0,SINGAPORE,44.85,11.21,F,52.0
Airlines,Online,Annual Silver Plan,No,368.0,SINGAPORE,252.85,63.21,F,32.0
Airlines,Online,Basic Plan,No,16.0,INDONESIA,22.0,7.7,F,52.0
Airlines,Online,Bronze Plan,No,33.0,SINGAPORE,154.0,38.5,F,25.0
Airlines,Online,Annual Gold Plan,No,365.0,SINGAPORE,278.85,69.71,M,59.0
Airlines,Online,Value Plan,No,120.0,TURKEY,109.0,38.15,F,26.0
