Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commission (in value),Gender,Age,Predicted Claim,Claim Probability
Travel Agency,Offline,Comprehensive Plan,No,49.0,THAILAND,29.0,9.57,F,76.0,0,0.00041249263
Travel Agency,Offline,Comprehensive Plan,No,13.0,THAILAND,29.0,9.57,F,83.0,0,0.00016512022
Airlines,Online,Value Plan,No,1.0,BRUNEI DARUSSALAM,15.0,6.0,M,46.0,0,2.5009766e-07
Airlines,Online,Basic Plan,No,69.0,HONG KONG,22.0,7.7,M,67.0,0,4.1486728e-05
Travel Agency,Offline,Comprehensive Plan,No,11.0,MALAYSIA,29.0,9.57,F,118.0,0,0.00019847695
Travel Agency,Offline,Comprehensive Plan,No,6.0,THAILAND,29.0,9.57,F,118.0,0,0.00024833804
Airlines,Online,Basic Plan,No,17.0,THAILAND,18.0,6.3,M,55.0,0,0.0007292687
Airlines,Online,Bronze Plan,No,21.0,SINGAPORE,52.65,13.16,F,27.0,1,0.34668666
Airlines,Online,Value Plan,No,19.0,BRUNEI DARUSSALAM,0.0,6.0,F,58.0,0,1.9229855e-08
Airlines,Online,Value Plan,No,15.0,INDIA,50.0,20.0,F,118.0,0,0.00017676824
Airlines,Online,Silver Plan,No,34.0,SINGAPORE,109.0,27.25,F,27.0,1,0.5529115
Airlines,Online,Basic Plan,No,6.0,HONG KONG,26.0,9.1,M,27.0,0,0.0012067966
Travel Agency,Online,Value Plan,No,76.0,SPAIN,75.0,28.5,F,48.0,0,4.4379613e-05
Airlines,Online,Basic Plan,No,32.0,CHINA,35.0,12.25,M,29.0,0,4.1805156e-06
Travel Agency,Offline,Comprehensive Plan,No,11.0,THAILAND,29.0,9.57,F,16.0,0,0.000517358
Airlines,Online,Basic Plan,No,35.0,PHILIPPINES,22.0,7.7,M,56.0,0,0.0006544602
Airlines,Online,Value Plan,No,127.0,AUSTRALIA,23.0,9.2,M,71.0,0,3.167124e-06
Airlines,Online,Basic Plan,No,23.0,HONG KONG,26.0,9.1,M,62.0,0,0.0002824003
Airlines,Online,Value Plan,No,7.0,JAPAN,45.0,15.75,M,43.0,0,0.0001879013
Airlines,Online,Silver Plan,No,9.0,SINGAPORE,27.75,6.94,F,11.0,0,0.0010011904
Airlines,Online,Annual Silver Plan,No,367.0,SINGAPORE,252.85,63.21,M,57.0,1,0.94367075
Airlines,Online,Bronze Plan,No,15.0,SINGAPORE,30.55,7.64,M,28.0,0,0.0014754097
Airlines,Online,Basic Plan,No,27.0,CHINA,40.0,14.0,M,49.0,0,0.00019998792
Airlines,Online,Value Plan,No,1.0,INDIA,124.0,49.6,M,118.0,1,0.039614577
Airlines,Online,Basic Plan,No,75.0,"KOREA, REPUBLIC OF",26.0,9.1,F,23.0,0,2.795357e-05
Airlines,Online,Basic Plan,No,3.0,CHINA,22.0,7.7,M,34.0,0,0.0002600917
Airlines,Online,Value Plan,No,25.0,INDIA,50.0,20.0,M,118.0,0,6.9726266e-05
Travel Agency,Offline,Comprehensive Plan,No,29.0,MALAYSIA,29.0,9.57,F,8.0,1,0.021431845
Airlines,Online,Value Plan,No,96.0,BRUNEI DARUSSALAM,15.0,6.0,F,33.0,0,9.20191e-09
Airlines,Online,Basic Plan,No,66.0,INDONESIA,30.0,10.5,F,33.0,0,4.255346e-05
Airlines,Online,Basic Plan,No,22.0,"TAIWAN, PROVINCE OF CHINA",40.0,14.0,F,50.0,0,0.00014041636
Airlines,Online,Basic Plan,No,127.0,CHINA,40.0,14.0,M,32.0,0,1.3645484e-05
Airlines,Online,Value Plan,No,42.0,CHINA,92.0,32.2,F,53.0,0,0.015116461
Airlines,Online,Basic Plan,No,55.0,JAPAN,35.0,12.25,M,28.0,0,0.00015965627
Airlines,Online,Basic Plan,No,12.0,VIET NAM,22.0,7.7,F,31.0,0,1.22408865e-05
Airlines,Online,Silver Plan,No,7.0,SINGAPORE,37.5,9.38,F,52.0,0,0.0129099805
Airlines,Online,Basic Plan,No,32.0,PHILIPPINES,52.0,18.2,F,28.0,0,8.02233e-05
Airlines,Online,Silver Plan,No,12.0,SINGAPORE,35.5,8.88,M,26.0,1,0.017897302
Airlines,Online,Bronze Plan,No,31.0,SINGAPORE,61.1,15.28,F,31.0,1,0.09171415
Airlines,Online,Bronze Plan,No,8.0,SINGAPORE,23.4,5.85,F,33.0,0,0.0056910478
Airlines,Online,Value Plan,No,13.0,HONG KONG,51.0,17.85,M,118.0,0,4.5514782e-05
Airlines,Online,Basic Plan,No,105.0,INDONESIA,37.0,12.95,F,40.0,0,7.733374e-06
Airlines,Online,Bronze Plan,No,15.0,SINGAPORE,34.5,8.63,M,28.0,0,0.010383693
Travel Agency,Offline,Comprehensive Plan,No,6.0,THAILAND,29.0,9.57,M,30.0,0,1.5301368e-05
Airlines,Online,Basic Plan,No,12.0,HONG KONG,26.0,9.1,M,52.0,0,0.010514675
Airlines,Online,Basic Plan,No,20.0,MALAYSIA,22.0,7.7,M,40.0,0,1.4430976e-05
Airlines,Online,Annual Gold Plan,No,378.0,SINGAPORE,278.85,69.71,M,50.0,1,0.89700985
Airlines,Online,Basic Plan,No,19.0,VIET NAM,22.0,7.7,F,44.0,0,0.000702059
Airlines,Online,Basic Plan,No,21.0,"KOREA, REPUBLIC OF",0.0,12.25,F,35.0,0,2.7168355e-07
Airlines,Online,Basic Plan,No,19.0,THAILAND,30.0,10.5,M,47.0,0,0.00013768653
Airlines,Online,Basic Plan,No,2.0,MALAYSIA,18.0,6.3,F,31.0,0,5.9893074e-07
Airlines,Online,Gold Plan,No,48.0,SINGAPORE,114.75,28.69,F,47.0,1,0.34444952
Airlines,Online,Value Plan,No,15.0,SWITZERLAND,87.0,30.45,F,45.0,1,0.023544239
Airlines,Online,Basic Plan,No,2.0,CHINA,22.0,7.7,F,43.0,0,0.0019215515
Airlines,Online,Basic Plan,No,5.0,THAILAND,22.0,7.7,M,36.0,0,4.914015e-05
Airlines,Online,Bronze Plan,No,11.0,SINGAPORE,22.1,5.53,F,79.0,1,0.028771812
Airlines,Online,Annual Silver Plan,No,375.0,SINGAPORE,291.75,72.94,M,47.0,1,0.028257258
Airlines,Online,Basic Plan,No,121.0,JAPAN,44.0,15.4,F,118.0,0,1.8010627e-06
Airlines,Online,Basic Plan,No,11.0,HONG KONG,26.0,9.1,M,21.0,0,0.0028874124
Travel Agency,Online,Value Plan,No,5.0,INDONESIA,28.0,10.64,F,48.0,1,0.016152289
Airlines,Online,Gold Plan,No,5.0,SINGAPORE,35.1,8.78,F,33.0,0,0.00043242078
Airlines,Online,Silver Plan,No,15.0,SINGAPORE,0.0,10.89,M,25.0,0,1.1201313e-06
Airlines,Online,Basic Plan,No,16.0,INDONESIA,18.0,6.3,F,38.0,0,0.0009913854
Airlines,Online,Basic Plan,No,33.0,CHINA,26.0,9.1,F,42.0,0,0.00013424965
Airlines,Online,Basic Plan,No,48.0,INDONESIA,37.0,12.95,F,33.0,0,1.3739042e-05
Airlines,Online,Bronze Plan,No,12.0,SINGAPORE,22.1,5.53,M,64.0,1,0.03011582
Airlines,Online,Basic Plan,No,38.0,CHINA,44.0,15.4,F,52.0,0,0.0022559543
Airlines,Online,Basic Plan,No,59.0,CHINA,40.0,14.0,M,46.0,0,6.6284476e-05
Airlines,Online,Basic Plan,No,71.0,INDONESIA,37.0,12.95,F,42.0,0,3.782615e-06
Airlines,Online,Basic Plan,No,38.0,HONG KONG,26.0,9.1,M,30.0,0,0.00094940205
Airlines,Online,Basic Plan,No,26.0,"TAIWAN, PROVINCE OF CHINA",26.0,9.1,F,48.0,0,0.0012706697
Airlines,Online,Basic Plan,No,6.0,THAILAND,18.0,6.3,M,39.0,0,2.6005522e-05
Airlines,Online,Bronze Plan,No,21.0,SINGAPORE,38.35,9.59,F,23.0,1,0.03212056
Airlines,Online,Bronze Plan,No,82.0,SINGAPORE,69.55,17.39,F,32.0,1,0.05740968
Airlines,Online,Bronze Plan,No,10.0,SINGAPORE,32.9,8.22,M,49.0,0,0.005066672
Airlines,Online,Basic Plan,No,90.0,"TAIWAN, PROVINCE OF CHINA",35.0,12.25,M,69.0,0,0.0013521237
Airlines,Online,Basic Plan,No,48.0,INDONESIA,30.0,10.5,F,62.0,0,0.011970254
Airlines,Online,Basic Plan,No,22.0,CHINA,26.0,9.1,M,37.0,0,4.1431453e-05
Airlines,Online,Value Plan,No,38.0,INDIA,50.0,20.0,F,118.0,0,0.00011584354
Airlines,Online,Value Plan,No,1.0,INDIA,31.0,12.4,M,118.0,0,2.024924e-05
Airlines,Online,Value Plan,No,24.0,INDIA,39.0,15.6,M,118.0,0,7.060668e-05
Airlines,Online,Basic Plan,No,21.0,CHINA,26.0,9.1,M,54.0,0,3.8333994e-05
Airlines,Online,Value Plan,No,15.0,INDIA,78.0,31.2,M,118.0,0,0.0011722858
Airlines,Online,Basic Plan,No,58.0,CHINA,26.0,9.1,M,31.0,0,1.6840037e-05
Airlines,Online,Basic Plan,No,30.0,PHILIPPINES,22.0,7.7,M,32.0,0,8.70493e-06
Airlines,Online,Basic Plan,No,8.0,MALAYSIA,18.0,6.3,M,50.0,0,0.00020277302
Airlines,Online,Bronze Plan,No,11.0,SINGAPORE,17.55,4.39,M,67.0,0,3.2085798e-05
Airlines,Online,Basic Plan,No,24.0,MALAYSIA,22.0,7.7,F,31.0,0,3.3914885e-06
Airlines,Online,Basic Plan,No,1.0,INDONESIA,18.0,6.3,F,47.0,0,6.553835e-05
Travel Agency,Online,Value Plan,No,10.0,INDONESIA,28.0,10.64,F,48.0,1,0.043703068
Airlines,Online,Basic Plan,No,13.0,AUSTRALIA,26.0,9.1,M,53.0,0,0.012004353
Airlines,Online,Basic Plan,No,75.0,THAILAND,69.0,24.15,M,31.0,0,0.0014553746
Airlines,Online,Silver Plan,No,8.0,SINGAPORE,43.55,10.89,F,60.0,0,0.0052236603
Travel Agency,Offline,Comprehensive Plan,No,15.0,MALAYSIA,29.0,9.57,M,67.0,1,0.017683063
Airlines,Online,Value Plan,No,39.0,CHINA,110.0,38.5,F,48.0,0,0.0056129233
Airlines,Online,Basic Plan,No,44.0,THAILAND,22.0,7.7,M,50.0,0,0.0053547663
Airlines,Online,Basic Plan,No,15.0,MALAYSIA,22.0,7.7,M,35.0,0,0.00017536324
Airlines,Online,Basic Plan,No,45.0,CHINA,35.0,12.25,M,59.0,0,0.0004473244
Airlines,Online,Basic Plan,No,40.0,HONG KONG,35.0,12.25,M,53.0,0,0.0059410324
Airlines,Online,Basic Plan,No,25.0,HONG KONG,26.0,9.1,M,46.0,0,3.6335772e-05
Airlines,Online,Basic Plan,No,3.0,PHILIPPINES,18.0,6.3,M,53.0,0,0.00011458014
Airlines,Online,Value Plan,No,29.0,BRUNEI DARUSSALAM,31.0,12.4,M,39.0,0,0.00012308269
Airlines,Online,24 Protect,No,121.0,CAMBODIA,14.11,4.94,M,48.0,0,1.1420806e-07
Airlines,Online,Annual Silver Plan,No,369.0,SINGAPORE,252.85,63.21,F,42.0,1,0.8093155
Airlines,Online,Basic Plan,No,37.0,CHINA,44.0,15.4,M,35.0,0,6.478372e-06
Travel Agency,Online,Premier Plan,No,3.0,INDONESIA,29.0,11.02,M,48.0,0,0.007173713
Airlines,Online,Annual Silver Plan,No,377.0,SINGAPORE,291.75,72.94,M,33.0,1,0.9608592
Airlines,Online,Silver Plan,No,13.0,SINGAPORE,58.8,14.7,F,24.0,1,0.17360117
Airlines,Online,Basic Plan,No,115.0,INDONESIA,22.0,7.7,F,31.0,0,9.439918e-06
Airlines,Online,Basic Plan,No,34.0,CHINA,22.0,7.7,M,31.0,0,1.1652088e-06
Airlines,Online,Value Plan,No,19.0,"KOREA, REPUBLIC OF",45.0,15.75,M,41.0,0,0.00020630895
Airlines,Online,Bronze Plan,No,41.0,SINGAPORE,108.75,27.19,M,37.0,0,0.015426442
Airlines,Online,Basic Plan,No,3.0,MALAYSIA,18.0,6.3,M,57.0,0,0.00012839204
Airlines,Online,Basic Plan,No,10.0,MALAYSIA,30.0,10.5,M,45.0,0,0.0003228099
Airlines,Online,Basic Plan,No,5.0,INDONESIA,18.0,6.3,F,32.0,0,8.415125e-05
Airlines,Online,Basic Plan,No,24.0,THAILAND,30.0,10.5,M,48.0,0,8.452587e-05
Airlines,Online,Annual Silver Plan,No,377.0,SINGAPORE,187.85,46.96,F,75.0,0,0.00016595236
Airlines,Online,Value Plan,No,9.0,CHINA,32.0,11.2,M,118.0,0,0.0018154538
Airlines,Online,Basic Plan,No,7.0,JAPAN,35.0,12.25,F,36.0,0,3.230683e-06
Airlines,Online,Basic Plan,No,16.0,MALAYSIA,18.0,6.3,M,66.0,0,0.015057388
Travel Agency,Offline,Comprehensive Plan,No,277.0,THAILAND,29.0,9.57,F,69.0,0,0.00024198653
Airlines,Online,Bronze Plan,No,6.0,SINGAPORE,20.25,5.06,M,39.0,0,0.0003895983
Airlines,Online,Basic Plan,No,24.0,HONG KONG,26.0,9.1,M,36.0,0,0.004082182
Travel Agency,Online,Premier Plan,No,106.0,ITALY,86.0,32.68,M,48.0,0,0.00057393685
Airlines,Online,Basic Plan,No,2.0,PHILIPPINES,18.0,6.3,F,27.0,0,5.131561e-05
Airlines,Online,Gold Plan,No,17.0,SINGAPORE,118.3,29.57,M,35.0,0,0.0018930293
Airlines,Online,Basic Plan,No,1.0,INDONESIA,18.0,6.3,F,41.0,0,4.0791518e-05
Travel Agency,Offline,Comprehensive Plan,No,19.0,THAILAND,29.0,9.57,F,83.0,0,0.00027209028
Airlines,Online,Value Plan,No,2.0,INDIA,42.0,16.8,F,118.0,0,6.2080862e-06
Airlines,Online,Basic Plan,No,10.0,CHINA,26.0,9.1,M,30.0,0,0.00015365687
Airlines,Online,Basic Plan,No,19.0,HONG KONG,26.0,9.1,M,25.0,0,0.0012362654
Airlines,Online,Basic Plan,No,8.0,MACAO,26.0,9.1,M,57.0,0,0.00037738655
Airlines,Online,Basic Plan,No,2.0,MACAO,22.0,7.7,M,61.0,0,0.0003094433
Airlines,Online,Basic Plan,No,236.0,HONG KONG,26.0,9.1,F,40.0,0,3.5227072e-06
Airlines,Online,Basic Plan,No,12.0,THAILAND,18.0,6.3,M,42.0,0,3.1204054e-05
Airlines,Online,Value Plan,No,21.0,AUSTRALIA,58.0,20.3,F,43.0,1,0.054081477
Airlines,Online,Basic Plan,No,29.0,INDONESIA,18.0,6.3,F,31.0,0,8.6866574e-05
Airlines,Online,Basic Plan,No,20.0,THAILAND,22.0,7.7,M,49.0,0,3.137913e-05
Airlines,Online,Value Plan,No,21.0,INDIA,120.0,48.0,M,118.0,1,0.046652544
Airlines,Online,Bronze Plan,No,4.0,SINGAPORE,13.5,3.38,M,38.0,0,0.00019374375
Airlines,Online,Annual Silver Plan,Yes,366.0,SINGAPORE,252.85,63.21,F,22.0,1,0.9916931
Airlines,Online,Bronze Plan,No,24.0,SINGAPORE,25.2,6.3,F,33.0,1,0.96837986
Airlines,Online,Basic Plan,No,6.0,INDONESIA,18.0,6.3,M,38.0,0,0.00015340243
Airlines,Online,Value Plan,No,72.0,INDIA,31.0,12.4,M,118.0,0,6.358837e-05
Airlines,Online,Basic Plan,No,39.0,THAILAND,22.0,7.7,M,35.0,0,0.0006090675
Airlines,Online,Value Plan,No,38.0,INDIA,31.0,12.4,F,118.0,0,0.00052632
Airlines,Online,Basic Plan,No,87.0,HONG KONG,26.0,9.1,M,49.0,0,1.2564018e-06
Airlines,Online,Basic Plan,No,58.0,MYANMAR,-47.0,16.45,F,28.0,0,4.4729862e-07
Airlines,Online,Value Plan,No,4.0,BRUNEI DARUSSALAM,15.0,6.0,F,28.0,0,1.6945193e-06
Airlines,Online,Basic Plan,No,7.0,PHILIPPINES,22.0,7.7,M,33.0,0,7.947935e-05
Airlines,Online,Basic Plan,No,9.0,CAMBODIA,22.0,7.7,M,42.0,0,0.0026674352
Airlines,Online,Bronze Plan,No,36.0,SINGAPORE,17.55,4.39,F,38.0,1,0.041612577
Airlines,Online,24 Protect,No,9.0,PHILIPPINES,3.43,1.2,M,48.0,0,0.00012208155
Airlines,Online,Basic Plan,No,48.0,MYANMAR,22.0,7.7,M,23.0,0,1.648094e-05
Airlines,Online,Silver Plan,No,47.0,SINGAPORE,0.0,10.89,F,25.0,0,4.5823767e-06
Airlines,Online,24 Protect,No,9.0,UNITED ARAB EMIRATES,28.5,9.97,M,48.0,0,8.8520006e-05
Airlines,Online,Value Plan,No,23.0,JAPAN,58.0,20.3,M,54.0,0,0.0006624079
Airlines,Online,Basic Plan,No,30.0,THAILAND,30.0,10.5,M,48.0,0,0.0001347244
Airlines,Online,Basic Plan,No,37.0,THAILAND,18.0,6.3,M,69.0,1,0.42528477
Airlines,Online,Annual Silver Plan,No,365.0,SINGAPORE,291.75,72.94,M,33.0,1,0.81126606
Airlines,Online,Bronze Plan,No,7.0,SINGAPORE,23.4,5.85,M,52.0,0,0.0013252811
Airlines,Online,Basic Plan,No,5.0,CHINA,22.0,7.7,M,53.0,0,0.013463683
Airlines,Online,Basic Plan,No,52.0,INDONESIA,22.0,7.7,F,51.0,0,0.0006367311
Airlines,Online,24 Protect,No,224.0,PHILIPPINES,4.95,1.73,F,48.0,0,1.364227e-05
Airlines,Online,Value Plan,No,11.0,"KOREA, REPUBLIC OF",69.0,24.15,M,43.0,0,5.673014e-05
Airlines,Online,Bronze Plan,No,8.0,SINGAPORE,30.55,7.64,M,30.0,0,4.0389555e-06
Airlines,Online,24 Protect,No,6.0,MALAYSIA,6.2,2.17,F,48.0,0,0.000114162445
Airlines,Online,Basic Plan,No,118.0,JAPAN,35.0,12.25,F,41.0,0,1.7629522e-05
Airlines,Online,Basic Plan,No,16.0,MYANMAR,22.0,7.7,F,28.0,0,0.0001322929
Airlines,Online,Bronze Plan,No,83.0,SINGAPORE,13.5,3.38,F,44.0,0,0.00023486269
Airlines,Online,Value Plan,No,34.0,LAO PEOPLE'S DEMOCRATIC REPUBLIC,39.0,13.65,M,62.0,0,0.0026308931
Airlines,Online,Value Plan,No,11.0,JAPAN,36.0,12.6,M,49.0,0,0.00010350502
Airlines,Online,Value Plan,No,9.0,BRUNEI DARUSSALAM,15.0,6.0,M,56.0,0,2.1250002e-05
Airlines,Online,Basic Plan,No,17.0,CHINA,35.0,12.25,F,46.0,0,0.0005744373
Airlines,Online,Basic Plan,No,11.0,THAILAND,22.0,7.7,M,51.0,0,6.716893e-06
Airlines,Online,Basic Plan,No,14.0,CHINA,26.0,9.1,F,36.0,1,0.24691607
Airlines,Online,Basic Plan,No,14.0,INDONESIA,22.0,7.7,M,58.0,0,0.002594922
Airlines,Online,Bronze Plan,No,5.0,SINGAPORE,17.55,4.39,F,27.0,1,0.05562882
Airlines,Online,Basic Plan,No,7.0,MALAYSIA,22.0,7.7,M,42.0,0,0.00017984613
Airlines,Online,Bronze Plan,No,27.0,SINGAPORE,-25.2,6.3,M,24.0,0,1.38591495e-05
Airlines,Online,Value Plan,No,52.0,JAPAN,58.0,20.3,M,42.0,0,3.7312315e-05
Airlines,Online,Basic Plan,No,4.0,INDONESIA,18.0,6.3,F,38.0,0,0.00033776474
Airlines,Online,Value Plan,No,18.0,BRUNEI DARUSSALAM,23.0,9.2,M,29.0,0,0.00059170724
Airlines,Online,Basic Plan,No,5.0,THAILAND,18.0,6.3,F,37.0,0,0.00024786612
Airlines,Online,Bronze Plan,No,55.0,SINGAPORE,94.0,23.5,M,30.0,1,0.0765872
Airlines,Online,Silver Plan,No,9.0,SINGAPORE,58.1,14.53,F,45.0,1,0.092081845
Airlines,Online,Basic Plan,No,6.0,MYANMAR,22.0,7.7,M,58.0,0,0.0007341295
Airlines,Online,Basic Plan,No,0.0,INDONESIA,18.0,6.3,M,42.0,0,2.0280973e-05
Airlines,Online,Value Plan,No,11.0,CHINA,40.0,14.0,M,59.0,0,0.00016742125
Airlines,Online,Basic Plan,No,26.0,THAILAND,33.0,11.55,M,44.0,0,0.00013333288
Airlines,Online,Basic Plan,No,4.0,VIET NAM,18.0,6.3,M,36.0,0,3.3800086e-05
Airlines,Online,Basic Plan,No,26.0,PHILIPPINES,0.0,10.5,F,39.0,0,0.00013505328
Airlines,Online,24 Protect,No,45.0,MALAYSIA,4.84,1.69,F,48.0,0,0.00062954705
Airlines,Online,Basic Plan,No,15.0,MALAYSIA,18.0,6.3,M,52.0,0,0.00068982417
Airlines,Online,Basic Plan,No,37.0,THAILAND,22.0,7.7,F,69.0,1,0.0209408
Airlines,Online,Value Plan,No,34.0,PHILIPPINES,34.0,11.9,F,118.0,0,1.33450085e-05
Airlines,Online,Basic Plan,No,28.0,MALAYSIA,18.0,6.3,F,42.0,0,9.886845e-05
Airlines,Online,Basic Plan,No,7.0,THAILAND,22.0,7.7,M,69.0,0,5.0035913e-05
Airlines,Online,Basic Plan,No,25.0,CHINA,22.0,7.7,M,63.0,0,4.3871526e-07
Airlines,Online,Basic Plan,No,84.0,HONG KONG,35.0,12.25,F,40.0,0,0.000297961
Airlines,Online,Basic Plan,No,33.0,CHINA,26.0,9.1,F,30.0,0,0.00011934771
Airlines,Online,Basic Plan,No,2.0,CHINA,22.0,7.7,F,38.0,0,0.0023243388
Airlines,Online,Value Plan,No,11.0,INDIA,39.0,15.6,M,118.0,0,2.1240571e-06
Airlines,Online,Value Plan,No,44.0,DENMARK,109.0,38.15,F,43.0,0,0.0028088025
Airlines,Online,Basic Plan,No,123.0,PHILIPPINES,30.0,10.5,F,46.0,0,7.790958e-05
Airlines,Online,Basic Plan,No,10.0,CHINA,26.0,9.1,F,45.0,1,0.38913587
Airlines,Online,Annual Silver Plan,Yes,376.0,SINGAPORE,252.85,63.21,M,34.0,1,0.99154633
Airlines,Online,Basic Plan,No,53.0,PHILIPPINES,37.0,12.95,F,37.0,0,0.0001730575
Travel Agency,Online,Value Plan,No,39.0,INDONESIA,28.0,10.64,M,48.0,0,0.002733815
Airlines,Online,Basic Plan,No,62.0,VIET NAM,22.0,7.7,M,28.0,0,6.864149e-06
Airlines,Online,Basic Plan,No,16.0,INDONESIA,-18.0,6.3,F,38.0,0,0.0010491622
Airlines,Online,Silver Plan,Yes,13.0,SINGAPORE,76.3,19.07,F,35.0,1,0.9908399
Airlines,Online,Basic Plan,No,38.0,THAILAND,22.0,7.7,M,60.0,0,0.00458205
Airlines,Online,Silver Plan,No,6.0,SINGAPORE,22.2,5.55,M,27.0,0,5.980426e-05
Airlines,Online,Basic Plan,No,40.0,THAILAND,18.0,6.3,F,49.0,1,0.09793545
Airlines,Online,Value Plan,No,15.0,"KOREA, REPUBLIC OF",69.0,24.15,M,43.0,0,0.00015182514
Airlines,Online,Value Plan,No,8.0,INDIA,31.0,12.4,M,118.0,0,2.5514804e-05
Airlines,Online,Basic Plan,No,103.0,"TAIWAN, PROVINCE OF CHINA",40.0,14.0,F,25.0,0,0.0042916765
Airlines,Online,Silver Plan,No,238.0,SINGAPORE,27.75,6.94,M,43.0,1,0.74358857
Airlines,Online,Annual Silver Plan,Yes,383.0,SINGAPORE,291.75,72.94,M,38.0,1,0.0157225
Travel Agency,Online,Value Plan,No,43.0,SPAIN,95.0,36.1,F,48.0,0,0.00015776748
Airlines,Online,Value Plan,No,131.0,INDIA,100.0,40.0,M,118.0,0,0.0039127306
Airlines,Online,24 Protect,No,3.0,UNITED ARAB EMIRATES,12.67,4.43,M,48.0,0,0.00024336367
Airlines,Online,Bronze Plan,Yes,12.0,SINGAPORE,23.0,5.75,M,27.0,1,0.98938835
Airlines,Online,Basic Plan,No,180.0,JAPAN,35.0,12.25,F,42.0,0,5.3961217e-06
Airlines,Online,Basic Plan,No,4.0,INDONESIA,18.0,6.3,M,41.0,0,3.07815e-05
