Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Gender,Age
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,51.0,AUSTRALIA,59.4,35.64,,61.0
EPX,Travel Agency,Online,Cancellation Plan,No,17.0,JAPAN,41.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,23.0,SINGAPORE,23.0,0.0,,36.0
JZI,Airlines,Online,Basic Plan,No,14.0,THAILAND,22.0,7.7,M,44.0
EPX,Travel Agency,Online,Cancellation Plan,No,43.0,SINGAPORE,10.0,0.0,,36.0
RAB,Airlines,Online,Value Plan,No,7.0,BRUNEI DARUSSALAM,15.0,6.0,M,71.0
C2B,Airlines,Online,Bronze Plan,No,31.0,SINGAPORE,27.0,6.75,M,14.0
EPX,Travel Agency,Online,Cancellation Plan,No,2.0,SINGAPORE,10.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,13.0,THAILAND,46.0,0.0,,36.0
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,79.0,ESTONIA,20.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,12.0,JAPAN,52.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,23.0,"TAIWAN, PROVINCE OF CHINA",29.7,17.82,,45.0
EPX,Travel Agency,Online,Cancellation Plan,No,15.0,CHINA,25.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,31.0,UNITED KINGDOM,55.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,33.0,GERMANY,29.7,17.82,,56.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,50.0,INDONESIA,26.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,2.0,UNITED STATES,19.8,11.88,,31.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,6.0,SINGAPORE,38.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,19.0,AUSTRALIA,79.2,47.52,,29.0
EPX,Travel Agency,Online,Cancellation Plan,No,14.0,THAILAND,24.0,0.0,,36.0
JZI,Airlines,Online,Value Plan,No,24.0,"KOREA, REPUBLIC OF",58.0,20.3,F,23.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,9.0,THAILAND,20.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,2.0,SINGAPORE,10.0,0.0,,29.0
C2B,Airlines,Online,Gold Plan,No,7.0,SINGAPORE,35.1,8.78,M,21.0
EPX,Travel Agency,Online,Cancellation Plan,No,44.0,COLOMBIA,13.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,98.0,JAPAN,72.0,0.0,,36.0
JZI,Airlines,Online,Basic Plan,No,189.0,AUSTRALIA,26.0,9.1,F,40.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,7.0,PHILIPPINES,20.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,3.0,MALAYSIA,20.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,36.0,AUSTRALIA,19.8,11.88,,37.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,4.0,JAPAN,100.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,14.0,THAILAND,13.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,8.0,"KOREA, REPUBLIC OF",33.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,15.0,THAILAND,10.0,0.0,,37.0
C2B,Airlines,Online,Bronze Plan,No,9.0,SINGAPORE,22.1,5.53,M,22.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,43.0,"KOREA, REPUBLIC OF",32.0,0.0,,25.0
JZI,Airlines,Online,Basic Plan,No,226.0,AUSTRALIA,35.0,12.25,F,55.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,4.0,SINGAPORE,20.0,0.0,,24.0
JZI,Airlines,Online,Basic Plan,No,1.0,MALAYSIA,18.0,6.3,F,45.0
EPX,Travel Agency,Online,Cancellation Plan,No,190.0,UNITED STATES,128.0,0.0,,48.0
EPX,Travel Agency,Online,Cancellation Plan,No,6.0,SINGAPORE,12.0,0.0,,37.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,46.0,UNITED KINGDOM,39.6,23.76,,31.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,18.0,UNITED STATES,112.0,0.0,,39.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,15.0,HONG KONG,0.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,303.0,THAILAND,22.0,0.0,,51.0
EPX,Travel Agency,Online,Cancellation Plan,No,5.0,THAILAND,10.0,0.0,,36.0
JZI,Airlines,Online,Basic Plan,No,41.0,CHINA,35.0,12.25,M,47.0
C2B,Airlines,Online,Bronze Plan,No,30.0,SINGAPORE,69.55,17.39,M,27.0
EPX,Travel Agency,Online,Cancellation Plan,No,10.0,MALAYSIA,16.0,0.0,,36.0
JZI,Airlines,Online,Basic Plan,No,97.0,PHILIPPINES,37.0,12.95,F,27.0
JZI,Airlines,Online,Basic Plan,No,20.0,CHINA,44.0,15.4,F,24.0
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,6.0,CAMBODIA,20.0,0.0,,58.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,107.0,AUSTRALIA,69.3,41.58,,31.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,19.0,CHINA,37.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,26.0,CANADA,10.0,0.0,,35.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,26.0,VIET NAM,20.0,0.0,,30.0
EPX,Travel Agency,Online,Cancellation Plan,No,31.0,UNITED STATES,30.0,0.0,,42.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,38.0,"KOREA, REPUBLIC OF",29.7,17.82,,30.0
C2B,Airlines,Online,Annual Silver Plan,No,366.0,SINGAPORE,252.85,63.21,M,53.0
JZI,Airlines,Online,Basic Plan,No,10.0,CHINA,35.0,12.25,M,59.0
EPX,Travel Agency,Online,Cancellation Plan,No,48.0,HONG KONG,18.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,2.0,SINGAPORE,9.9,5.94,,34.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,22.0,UNITED KINGDOM,88.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,27.0,THAILAND,29.7,17.82,,60.0
EPX,Travel Agency,Online,Cancellation Plan,No,35.0,MALAYSIA,10.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,154.0,NETHERLANDS,147.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,30.0,MALAYSIA,10.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,18.0,INDONESIA,28.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,53.0,INDIA,19.0,0.0,,51.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,37.0,ICELAND,49.5,29.7,,39.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,14.0,AUSTRALIA,79.2,47.52,,45.0
ART,Airlines,Online,Value Plan,No,18.0,CHINA,61.0,21.35,M,118.0
EPX,Travel Agency,Online,Cancellation Plan,No,39.0,CAMBODIA,17.0,0.0,,36.0
JZI,Airlines,Online,Basic Plan,No,17.0,CAMBODIA,33.0,11.55,M,45.0
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,20.0,UNITED KINGDOM,67.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,151.0,CHINA,32.0,0.0,,36.0
JZI,Airlines,Online,Value Plan,No,15.0,HONG KONG,36.0,12.6,F,38.0
JZI,Airlines,Online,Basic Plan,No,12.0,CHINA,-26.0,9.1,F,33.0
JZI,Airlines,Online,Basic Plan,No,69.0,PHILIPPINES,37.0,12.95,F,39.0
KML,Travel Agency,Online,Premier Plan,No,12.0,INDONESIA,29.0,11.02,M,48.0
EPX,Travel Agency,Online,Cancellation Plan,No,48.0,AUSTRALIA,32.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,60.0,INDONESIA,23.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,4.0,THAILAND,19.8,11.88,,27.0
JZI,Airlines,Online,Basic Plan,No,202.0,CHINA,44.0,15.4,M,53.0
EPX,Travel Agency,Online,Cancellation Plan,No,8.0,THAILAND,24.0,0.0,,36.0
JZI,Airlines,Online,Basic Plan,No,15.0,THAILAND,30.0,10.5,F,33.0
C2B,Airlines,Online,Silver Plan,No,6.0,SINGAPORE,18.5,4.63,F,27.0
EPX,Travel Agency,Online,Cancellation Plan,No,36.0,"KOREA, REPUBLIC OF",20.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,48.0,"KOREA, REPUBLIC OF",0.0,11.88,,58.0
C2B,Airlines,Online,Gold Plan,Yes,33.0,SINGAPORE,68.6,17.15,M,72.0
JZI,Airlines,Online,Basic Plan,No,17.0,THAILAND,22.0,7.7,F,59.0
CCR,Travel Agency,Offline,Comprehensive Plan,No,43.0,MALAYSIA,29.0,9.57,F,87.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,14.0,JAPAN,20.0,0.0,,28.0
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,3.0,PHILIPPINES,20.0,0.0,,41.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,38.0,AUSTRALIA,0.0,47.52,,43.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,117.0,MALAYSIA,20.0,0.0,,26.0
EPX,Travel Agency,Online,Cancellation Plan,No,25.0,INDONESIA,10.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,21.0,HONG KONG,17.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,10.0,MYANMAR,51.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,7.0,THAILAND,15.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,43.0,UNITED STATES,80.0,0.0,,46.0
EPX,Travel Agency,Online,Cancellation Plan,No,5.0,MALAYSIA,10.0,0.0,,35.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,59.0,SINGAPORE,20.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,88.0,HONG KONG,14.0,0.0,,36.0
KML,Travel Agency,Online,Value Plan,No,33.0,SPAIN,109.0,41.42,M,48.0
EPX,Travel Agency,Online,Cancellation Plan,No,16.0,ITALY,53.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,6.0,MALAYSIA,29.7,17.82,,37.0
C2B,Airlines,Online,Silver Plan,No,9.0,SINGAPORE,32.5,8.13,M,62.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,79.0,NEW ZEALAND,89.1,53.46,,36.0
JZI,Airlines,Online,Basic Plan,No,5.0,"TAIWAN, PROVINCE OF CHINA",26.0,9.1,F,70.0
EPX,Travel Agency,Online,Cancellation Plan,No,3.0,UNITED STATES,79.0,0.0,,61.0
EPX,Travel Agency,Online,Cancellation Plan,No,17.0,CANADA,68.0,0.0,,35.0
CCR,Travel Agency,Offline,Comprehensive Plan,No,4.0,THAILAND,29.0,9.57,F,16.0
JZI,Airlines,Online,Basic Plan,No,19.0,INDIA,35.0,12.25,F,66.0
EPX,Travel Agency,Online,Cancellation Plan,No,3.0,INDONESIA,11.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,24.0,THAILAND,10.0,0.0,,23.0
CSR,Travel Agency,Offline,Comprehensive Plan,No,49.0,THAILAND,29.0,9.57,F,76.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,8.0,CHINA,30.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,38.0,CHINA,37.0,0.0,,36.0
CCR,Travel Agency,Offline,Comprehensive Plan,No,13.0,THAILAND,29.0,9.57,F,83.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,22.0,INDONESIA,28.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,17.0,INDONESIA,10.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,18.0,INDONESIA,13.0,0.0,,31.0
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,23.0,"TAIWAN, PROVINCE OF CHINA",21.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,29.0,VIET NAM,18.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,81.0,UNITED KINGDOM,108.9,65.34,,51.0
RAB,Airlines,Online,Value Plan,No,1.0,BRUNEI DARUSSALAM,15.0,6.0,M,46.0
JZI,Airlines,Online,Basic Plan,No,69.0,HONG KONG,22.0,7.7,M,67.0
CCR,Travel Agency,Offline,Comprehensive Plan,No,11.0,MALAYSIA,29.0,9.57,F,118.0
EPX,Travel Agency,Online,Cancellation Plan,No,15.0,CHINA,17.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,105.0,CHINA,32.0,0.0,,36.0
SSI,Airlines,Online,Ticket Protector,No,19.0,SINGAPORE,0.77,0.22,,48.0
CCR,Travel Agency,Offline,Comprehensive Plan,No,6.0,THAILAND,29.0,9.57,F,118.0
EPX,Travel Agency,Online,Cancellation Plan,No,18.0,CHINA,50.0,0.0,,36.0
JZI,Airlines,Online,Basic Plan,No,17.0,THAILAND,18.0,6.3,M,55.0
EPX,Travel Agency,Online,Cancellation Plan,No,17.0,CHINA,22.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,25.0,NORWAY,19.8,11.88,,25.0
EPX,Travel Agency,Online,Cancellation Plan,No,162.0,ITALY,60.0,0.0,,36.0
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,3.0,CHINA,22.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,8.0,CHINA,24.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,114.0,PHILIPPINES,19.0,0.0,,36.0
C2B,Airlines,Online,Bronze Plan,No,21.0,SINGAPORE,52.65,13.16,F,27.0
EPX,Travel Agency,Online,Cancellation Plan,No,27.0,SINGAPORE,48.0,0.0,,30.0
EPX,Travel Agency,Online,Cancellation Plan,No,167.0,CHINA,28.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,92.0,MALAYSIA,20.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,2.0,CHINA,17.0,0.0,,36.0
RAB,Airlines,Online,Value Plan,No,19.0,BRUNEI DARUSSALAM,0.0,6.0,F,58.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,58.0,PORTUGAL,188.1,112.86,,64.0
EPX,Travel Agency,Online,Cancellation Plan,No,1.0,INDONESIA,17.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,4.0,THAILAND,17.0,0.0,,28.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,36.0,THAILAND,33.0,0.0,,30.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,84.0,AUSTRALIA,39.6,23.76,,31.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,77.0,GREECE,29.7,17.82,,38.0
EPX,Travel Agency,Online,Cancellation Plan,No,5.0,INDONESIA,10.0,0.0,,49.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,42.0,"KOREA, REPUBLIC OF",47.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,68.0,CHINA,38.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,226.0,GERMANY,84.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,164.0,AUSTRALIA,21.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,21.0,UNITED STATES,89.1,53.46,,45.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,23.0,UNITED KINGDOM,69.3,41.58,,31.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,31.0,AUSTRALIA,0.0,35.64,,34.0
EPX,Travel Agency,Online,Cancellation Plan,No,30.0,THAILAND,20.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,44.0,AUSTRALIA,10.0,0.0,,36.0
JWT,Airlines,Online,Value Plan,No,15.0,INDIA,50.0,20.0,F,118.0
C2B,Airlines,Online,Silver Plan,No,34.0,SINGAPORE,109.0,27.25,F,27.0
EPX,Travel Agency,Online,Cancellation Plan,No,35.0,VIET NAM,12.0,0.0,,36.0
JZI,Airlines,Online,Basic Plan,No,6.0,HONG KONG,26.0,9.1,M,27.0
EPX,Travel Agency,Online,Cancellation Plan,No,137.0,THAILAND,20.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,4.0,MYANMAR,10.0,0.0,,36.0
KML,Travel Agency,Online,Value Plan,No,76.0,SPAIN,75.0,28.5,F,48.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,4.0,AUSTRALIA,39.6,23.76,,31.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,23.0,INDIA,26.0,0.0,,39.0
EPX,Travel Agency,Online,Cancellation Plan,No,27.0,HONG KONG,15.0,0.0,,39.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,105.0,SPAIN,89.1,53.46,,31.0
JZI,Airlines,Online,Basic Plan,No,32.0,CHINA,35.0,12.25,M,29.0
CSR,Travel Agency,Offline,Comprehensive Plan,No,11.0,THAILAND,29.0,9.57,F,16.0
EPX,Travel Agency,Online,Cancellation Plan,No,1.0,THAILAND,10.0,0.0,,26.0
EPX,Travel Agency,Online,Cancellation Plan,No,31.0,HONG KONG,17.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,32.0,SINGAPORE,10.0,0.0,,28.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,78.0,CAMBODIA,27.0,0.0,,36.0
JZI,Airlines,Online,Basic Plan,No,35.0,PHILIPPINES,22.0,7.7,M,56.0
RAB,Airlines,Online,Value Plan,No,127.0,AUSTRALIA,23.0,9.2,M,71.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,83.0,CHINA,65.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,45.0,SINGAPORE,17.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,8.0,VIET NAM,20.0,0.0,,36.0
JZI,Airlines,Online,Basic Plan,No,23.0,HONG KONG,26.0,9.1,M,62.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,117.0,CANADA,89.1,53.46,,50.0
JZI,Airlines,Online,Value Plan,No,7.0,JAPAN,45.0,15.75,M,43.0
EPX,Travel Agency,Online,Cancellation Plan,No,9.0,SINGAPORE,75.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,73.0,ITALY,0.0,29.7,,31.0
EPX,Travel Agency,Online,Cancellation Plan,No,57.0,CHINA,10.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,5.0,THAILAND,39.6,23.76,,44.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,59.0,JAPAN,28.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,46.0,PHILIPPINES,20.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,22.0,PHILIPPINES,20.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,29.0,PUERTO RICO,80.0,0.0,,45.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,186.0,SPAIN,69.3,41.58,,45.0
EPX,Travel Agency,Online,Cancellation Plan,No,4.0,HONG KONG,18.0,0.0,,34.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,101.0,IRELAND,148.5,89.1,,43.0
C2B,Airlines,Online,Silver Plan,No,9.0,SINGAPORE,27.75,6.94,F,11.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,9.0,DENMARK,39.6,23.76,,31.0
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,17.0,SINGAPORE,31.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,43.0,THAILAND,63.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,43.0,THAILAND,41.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,90.0,SINGAPORE,16.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,16.0,NEW ZEALAND,80.0,0.0,,50.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,80.0,SINGAPORE,97.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,76.0,COSTA RICA,90.0,0.0,,23.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,28.0,AUSTRALIA,39.6,23.76,,29.0
C2B,Airlines,Online,Annual Silver Plan,No,367.0,SINGAPORE,252.85,63.21,M,57.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,22.0,PHILIPPINES,20.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,9.0,CHINA,37.0,0.0,,36.0
C2B,Airlines,Online,Bronze Plan,No,15.0,SINGAPORE,30.55,7.64,M,28.0
JZI,Airlines,Online,Basic Plan,No,27.0,CHINA,40.0,14.0,M,49.0
EPX,Travel Agency,Online,Cancellation Plan,No,27.0,HONG KONG,30.0,0.0,,20.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,39.0,PHILIPPINES,20.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,31.0,THAILAND,49.5,29.7,,46.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,42.0,"KOREA, REPUBLIC OF",29.7,17.82,,31.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,26.0,UNITED STATES,59.4,35.64,,29.0
EPX,Travel Agency,Online,Cancellation Plan,No,47.0,GERMANY,10.0,0.0,,36.0
JWT,Airlines,Online,Value Plan,No,1.0,INDIA,124.0,49.6,M,118.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,52.0,UNITED STATES,79.2,47.52,,41.0
EPX,Travel Agency,Online,Cancellation Plan,No,6.0,BANGLADESH,12.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,2.0,VIET NAM,11.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,12.0,"TAIWAN, PROVINCE OF CHINA",42.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,4.0,MALAYSIA,29.7,17.82,,31.0
EPX,Travel Agency,Online,Cancellation Plan,No,4.0,THAILAND,26.0,0.0,,36.0
JZI,Airlines,Online,Basic Plan,No,75.0,"KOREA, REPUBLIC OF",26.0,9.1,F,23.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,45.0,UNITED STATES,0.0,100.98,,34.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,263.0,RUSSIAN FEDERATION,34.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,1.0,MALAYSIA,9.9,5.94,,37.0
JZI,Airlines,Online,Basic Plan,No,3.0,CHINA,22.0,7.7,M,34.0
JWT,Airlines,Online,Value Plan,No,25.0,INDIA,50.0,20.0,M,118.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,114.0,CHINA,44.0,0.0,,36.0
CBH,Travel Agency,Offline,Comprehensive Plan,No,29.0,MALAYSIA,29.0,9.57,F,8.0
RAB,Airlines,Online,Value Plan,No,96.0,BRUNEI DARUSSALAM,15.0,6.0,F,33.0
EPX,Travel Agency,Online,Cancellation Plan,No,52.0,"KOREA, REPUBLIC OF",11.0,0.0,,36.0
JZI,Airlines,Online,Basic Plan,No,66.0,INDONESIA,30.0,10.5,F,33.0
EPX,Travel Agency,Online,Cancellation Plan,No,101.0,PHILIPPINES,20.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,32.0,CANADA,80.0,0.0,,22.0
JZI,Airlines,Online,Basic Plan,No,22.0,"TAIWAN, PROVINCE OF CHINA",40.0,14.0,F,50.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,3.0,THAILAND,27.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,7.0,"TAIWAN, PROVINCE OF CHINA",44.0,0.0,,51.0
JZI,Airlines,Online,Basic Plan,No,127.0,CHINA,40.0,14.0,M,32.0
JZI,Airlines,Online,Value Plan,No,42.0,CHINA,92.0,32.2,F,53.0
EPX,Travel Agency,Online,Cancellation Plan,No,88.0,UNITED STATES,69.0,0.0,,20.0
JZI,Airlines,Online,Basic Plan,No,55.0,JAPAN,35.0,12.25,M,28.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,41.0,MALAYSIA,20.0,0.0,,36.0
